"timestamp,device_id,device_type,reparto,temperatura,vibrazione,livello_azoto,stato_dispositivo"
"2026-04-01 00:00:00,CRYO-01,banca_criogenica,Deposito_C,-194.82,0.036,71.98,OK"
"2026-04-01 00:00:00,CRYO-02,banca_criogenica,Deposito_C,-195.43,0.119,84.96,OK"
"2026-04-01 00:00:00,CULT-01,cella_coltura,Laboratorio_B,37.16,0.186,,OK"
"2026-04-01 00:00:00,CULT-02,cella_coltura,Laboratorio_B,36.96,0.128,,OK"
"2026-04-01 00:00:00,CULT-03,cella_coltura,Laboratorio_B,37.04,0.123,,OK"
"2026-04-01 00:00:00,HVAC-01,hvac,Edificio_Principale,20.34,0.367,,OK"
"2026-04-01 00:00:00,INC-01,incubatore,Laboratorio_A,37.0,0.262,,OK"
"2026-04-01 00:00:00,INC-02,incubatore,Laboratorio_A,36.81,0.195,,OK"
"2026-04-01 00:00:00,INC-03,incubatore,Laboratorio_A,36.96,0.387,,OK"
"2026-04-01 00:00:00,INC-04,incubatore,Laboratorio_A,36.95,0.198,,OK"
"2026-04-01 00:30:00,CRYO-01,banca_criogenica,Deposito_C,-195.85,0.055,71.98,OK"
"2026-04-01 00:30:00,CRYO-02,banca_criogenica,Deposito_C,-195.04,0.087,84.93,OK"
"2026-04-01 00:30:00,CULT-01,cella_coltura,Laboratorio_B,36.98,0.072,,OK"
"2026-04-01 00:30:00,CULT-02,cella_coltura,Laboratorio_B,36.6,0.084,,OK"
"2026-04-01 00:30:00,CULT-03,cella_coltura,Laboratorio_B,37.14,0.109,,OK"
"2026-04-01 00:30:00,HVAC-01,hvac,Edificio_Principale,20.64,0.57,,OK"
"2026-04-01 00:30:00,INC-01,incubatore,Laboratorio_A,37.42,0.347,,OK"
"2026-04-01 00:30:00,INC-02,incubatore,Laboratorio_A,36.96,0.117,,OK"
"2026-04-01 00:30:00,INC-03,incubatore,Laboratorio_A,37.12,0.051,,OK"
"2026-04-01 00:30:00,INC-04,incubatore,Laboratorio_A,36.91,0.266,,OK"
"2026-04-01 01:00:00,CRYO-01,banca_criogenica,Deposito_C,-195.18,0.074,71.94,OK"
"2026-04-01 01:00:00,CRYO-02,banca_criogenica,Deposito_C,-195.56,0.083,84.98,OK"
"2026-04-01 01:00:00,CULT-01,cella_coltura,Laboratorio_B,36.76,0.066,,OK"
"2026-04-01 01:00:00,CULT-02,cella_coltura,Laboratorio_B,37.75,0.142,,OK"
"2026-04-01 01:00:00,CULT-03,cella_coltura,Laboratorio_B,36.99,0.095,,OK"
"2026-04-01 01:00:00,HVAC-01,hvac,Edificio_Principale,20.5,0.223,,OK"
"2026-04-01 01:00:00,INC-01,incubatore,Laboratorio_A,37.12,0.053,,OK"
"2026-04-01 01:00:00,INC-02,incubatore,Laboratorio_A,36.93,0.196,,OK"
"2026-04-01 01:00:00,INC-03,incubatore,Laboratorio_A,36.94,0.374,,OK"
"2026-04-01 01:00:00,INC-04,incubatore,Laboratorio_A,37.2,0.111,,OK"
"2026-04-01 01:30:00,CRYO-01,banca_criogenica,Deposito_C,-195.04,0.069,71.98,OK"
"2026-04-01 01:30:00,CRYO-02,banca_criogenica,Deposito_C,-195.7,0.108,84.86,OK"
"2026-04-01 01:30:00,CULT-01,cella_coltura,Laboratorio_B,37.04,0.094,,OK"
"2026-04-01 01:30:00,CULT-02,cella_coltura,Laboratorio_B,37.22,0.144,,OK"
"2026-04-01 01:30:00,CULT-03,cella_coltura,Laboratorio_B,36.98,0.165,,OK"
"2026-04-01 01:30:00,HVAC-01,hvac,Edificio_Principale,20.66,0.475,,OK"
"2026-04-01 01:30:00,INC-01,incubatore,Laboratorio_A,37.15,0.03,,OK"
"2026-04-01 01:30:00,INC-02,incubatore,Laboratorio_A,37.22,0.235,,OK"
"2026-04-01 01:30:00,INC-03,incubatore,Laboratorio_A,36.98,0.17,,OK"
"2026-04-01 01:30:00,INC-04,incubatore,Laboratorio_A,37.25,0.1,,OK"
"2026-04-01 02:00:00,CRYO-01,banca_criogenica,Deposito_C,-196.04,0.142,71.84,OK"
"2026-04-01 02:00:00,CRYO-02,banca_criogenica,Deposito_C,-195.13,0.061,84.96,OK"
"2026-04-01 02:00:00,CULT-01,cella_coltura,Laboratorio_B,36.92,0.1,,OK"
"2026-04-01 02:00:00,CULT-02,cella_coltura,Laboratorio_B,36.67,0.154,,OK"
"2026-04-01 02:00:00,CULT-03,cella_coltura,Laboratorio_B,37.05,0.157,,OK"
"2026-04-01 02:00:00,HVAC-01,hvac,Edificio_Principale,20.58,0.295,,OK"
"2026-04-01 02:00:00,INC-01,incubatore,Laboratorio_A,37.14,0.33,,OK"
"2026-04-01 02:00:00,INC-02,incubatore,Laboratorio_A,36.86,0.257,,OK"
"2026-04-01 02:00:00,INC-03,incubatore,Laboratorio_A,37.12,0.198,,OK"
"2026-04-01 02:00:00,INC-04,incubatore,Laboratorio_A,37.08,0.263,,OK"
"2026-04-01 02:30:00,CRYO-01,banca_criogenica,Deposito_C,-195.4,0.041,71.87,OK"
"2026-04-01 02:30:00,CRYO-02,banca_criogenica,Deposito_C,-195.02,0.07,84.85,OK"
"2026-04-01 02:30:00,CULT-01,cella_coltura,Laboratorio_B,37.04,0.178,,OK"
"2026-04-01 02:30:00,CULT-02,cella_coltura,Laboratorio_B,37.17,0.163,,OK"
"2026-04-01 02:30:00,CULT-03,cella_coltura,Laboratorio_B,37.03,0.222,,OK"
"2026-04-01 02:30:00,HVAC-01,hvac,Edificio_Principale,21.35,0.327,,OK"
"2026-04-01 02:30:00,INC-01,incubatore,Laboratorio_A,37.09,0.211,,OK"
"2026-04-01 02:30:00,INC-02,incubatore,Laboratorio_A,37.05,0.082,,OK"
"2026-04-01 02:30:00,INC-03,incubatore,Laboratorio_A,37.14,0.132,,OK"
"2026-04-01 02:30:00,INC-04,incubatore,Laboratorio_A,37.18,0.349,,OK"
"2026-04-01 03:00:00,CRYO-01,banca_criogenica,Deposito_C,-195.57,0.079,71.9,OK"
"2026-04-01 03:00:00,CRYO-02,banca_criogenica,Deposito_C,-195.51,0.043,84.84,OK"
"2026-04-01 03:00:00,CULT-01,cella_coltura,Laboratorio_B,37.06,0.135,,OK"
"2026-04-01 03:00:00,CULT-02,cella_coltura,Laboratorio_B,37.42,0.052,,OK"
"2026-04-01 03:00:00,CULT-03,cella_coltura,Laboratorio_B,36.98,0.151,,OK"
"2026-04-01 03:00:00,HVAC-01,hvac,Edificio_Principale,20.54,0.568,,OK"
"2026-04-01 03:00:00,INC-01,incubatore,Laboratorio_A,37.03,0.111,,OK"
"2026-04-01 03:00:00,INC-02,incubatore,Laboratorio_A,37.06,0.356,,OK"
"2026-04-01 03:00:00,INC-03,incubatore,Laboratorio_A,37.2,0.054,,OK"
"2026-04-01 03:00:00,INC-04,incubatore,Laboratorio_A,37.07,0.247,,OK"
"2026-04-01 03:30:00,CRYO-01,banca_criogenica,Deposito_C,-195.71,0.018,71.9,OK"
"2026-04-01 03:30:00,CRYO-02,banca_criogenica,Deposito_C,-195.36,0.108,84.95,OK"
"2026-04-01 03:30:00,CULT-01,cella_coltura,Laboratorio_B,37.04,0.082,,OK"
"2026-04-01 03:30:00,CULT-02,cella_coltura,Laboratorio_B,36.52,0.095,,OK"
"2026-04-01 03:30:00,CULT-03,cella_coltura,Laboratorio_B,37.19,0.095,,OK"
"2026-04-01 03:30:00,HVAC-01,hvac,Edificio_Principale,20.27,0.318,,OK"
"2026-04-01 03:30:00,INC-01,incubatore,Laboratorio_A,37.22,0.223,,OK"
